product_name,description,rating,price,product_url,category
MSI Mobiles Model 20401,"MSI Mobiles Model 20401 built for performance, durability, and daily usage.",4.6,59004,https://www.amazon.in/dp/NEWITEM20401,mobile
Canon Headphones Model 20402,"Canon Headphones Model 20402 built for performance, durability, and daily usage.",3.7,27668,https://www.amazon.in/dp/NEWITEM20402,other
Canon Headphones Model 20403,"Canon Headphones Model 20403 built for performance, durability, and daily usage.",3.9,36891,https://www.amazon.in/dp/NEWITEM20403,other
OnePlus Laptops Model 20404,"OnePlus Laptops Model 20404 built for performance, durability, and daily usage.",4.0,66023,https://www.amazon.in/dp/NEWITEM20404,laptop
Boat Laptops Model 20405,"Boat Laptops Model 20405 built for performance, durability, and daily usage.",4.5,43217,https://www.amazon.in/dp/NEWITEM20405,laptop
HP Smart Watches Model 20406,"HP Smart Watches Model 20406 built for performance, durability, and daily usage.",3.9,7261,https://www.amazon.in/dp/NEWITEM20406,watch
Canon Cameras Model 20407,"Canon Cameras Model 20407 built for performance, durability, and daily usage.",4.8,76090,https://www.amazon.in/dp/NEWITEM20407,other
Noise Mobiles Model 20408,"Noise Mobiles Model 20408 built for performance, durability, and daily usage.",4.0,60751,https://www.amazon.in/dp/NEWITEM20408,mobile
Canon Headphones Model 20409,"Canon Headphones Model 20409 built for performance, durability, and daily usage.",4.7,11879,https://www.amazon.in/dp/NEWITEM20409,other
Boat Cameras Model 20410,"Boat Cameras Model 20410 built for performance, durability, and daily usage.",4.8,44950,https://www.amazon.in/dp/NEWITEM20410,other
Asus Cameras Model 20411,"Asus Cameras Model 20411 built for performance, durability, and daily usage.",3.7,56149,https://www.amazon.in/dp/NEWITEM20411,other
Lenovo Headphones Model 20412,"Lenovo Headphones Model 20412 built for performance, durability, and daily usage.",4.0,23809,https://www.amazon.in/dp/NEWITEM20412,other
OnePlus Laptops Model 20413,"OnePlus Laptops Model 20413 built for performance, durability, and daily usage.",4.0,33395,https://www.amazon.in/dp/NEWITEM20413,laptop
Boat Headphones Model 20414,"Boat Headphones Model 20414 built for performance, durability, and daily usage.",4.3,86082,https://www.amazon.in/dp/NEWITEM20414,other
Lenovo Laptops Model 20415,"Lenovo Laptops Model 20415 built for performance, durability, and daily usage.",3.8,29836,https://www.amazon.in/dp/NEWITEM20415,laptop
Lenovo Cameras Model 20416,"Lenovo Cameras Model 20416 built for performance, durability, and daily usage.",3.7,27681,https://www.amazon.in/dp/NEWITEM20416,other
Lenovo Laptops Model 20417,"Lenovo Laptops Model 20417 built for performance, durability, and daily usage.",3.8,88224,https://www.amazon.in/dp/NEWITEM20417,laptop
Asus Headphones Model 20418,"Asus Headphones Model 20418 built for performance, durability, and daily usage.",4.3,60362,https://www.amazon.in/dp/NEWITEM20418,other
HP Headphones Model 20419,"HP Headphones Model 20419 built for performance, durability, and daily usage.",3.8,83695,https://www.amazon.in/dp/NEWITEM20419,other
Lenovo Laptops Model 20420,"Lenovo Laptops Model 20420 built for performance, durability, and daily usage.",4.8,63694,https://www.amazon.in/dp/NEWITEM20420,laptop
Canon Cameras Model 20421,"Canon Cameras Model 20421 built for performance, durability, and daily usage.",4.5,62609,https://www.amazon.in/dp/NEWITEM20421,other
Asus Mobiles Model 20422,"Asus Mobiles Model 20422 built for performance, durability, and daily usage.",3.8,38052,https://www.amazon.in/dp/NEWITEM20422,mobile
Boat Headphones Model 20423,"Boat Headphones Model 20423 built for performance, durability, and daily usage.",4.1,14581,https://www.amazon.in/dp/NEWITEM20423,other
HP Mobiles Model 20424,"HP Mobiles Model 20424 built for performance, durability, and daily usage.",4.2,10645,https://www.amazon.in/dp/NEWITEM20424,mobile
OnePlus Mobiles Model 20425,"OnePlus Mobiles Model 20425 built for performance, durability, and daily usage.",4.0,16635,https://www.amazon.in/dp/NEWITEM20425,mobile
HP Mobiles Model 20426,"HP Mobiles Model 20426 built for performance, durability, and daily usage.",4.0,60959,https://www.amazon.in/dp/NEWITEM20426,mobile
Boat Mobiles Model 20427,"Boat Mobiles Model 20427 built for performance, durability, and daily usage.",4.5,67268,https://www.amazon.in/dp/NEWITEM20427,mobile
MSI Smart Watches Model 20428,"MSI Smart Watches Model 20428 built for performance, durability, and daily usage.",4.6,21667,https://www.amazon.in/dp/NEWITEM20428,watch
Dell Mobiles Model 20429,"Dell Mobiles Model 20429 built for performance, durability, and daily usage.",4.7,48530,https://www.amazon.in/dp/NEWITEM20429,mobile
Boat Smart Watches Model 20430,"Boat Smart Watches Model 20430 built for performance, durability, and daily usage.",3.9,59772,https://www.amazon.in/dp/NEWITEM20430,watch
Noise Laptops Model 20431,"Noise Laptops Model 20431 built for performance, durability, and daily usage.",4.5,9203,https://www.amazon.in/dp/NEWITEM20431,laptop
Noise Laptops Model 20432,"Noise Laptops Model 20432 built for performance, durability, and daily usage.",4.8,58188,https://www.amazon.in/dp/NEWITEM20432,laptop
MSI Mobiles Model 20433,"MSI Mobiles Model 20433 built for performance, durability, and daily usage.",4.7,23924,https://www.amazon.in/dp/NEWITEM20433,mobile
Lenovo Laptops Model 20434,"Lenovo Laptops Model 20434 built for performance, durability, and daily usage.",4.3,74818,https://www.amazon.in/dp/NEWITEM20434,laptop
Canon Mobiles Model 20435,"Canon Mobiles Model 20435 built for performance, durability, and daily usage.",3.9,54581,https://www.amazon.in/dp/NEWITEM20435,mobile
Dell Laptops Model 20436,"Dell Laptops Model 20436 built for performance, durability, and daily usage.",4.6,28861,https://www.amazon.in/dp/NEWITEM20436,laptop
Lenovo Headphones Model 20437,"Lenovo Headphones Model 20437 built for performance, durability, and daily usage.",4.0,65723,https://www.amazon.in/dp/NEWITEM20437,other
HP Cameras Model 20438,"HP Cameras Model 20438 built for performance, durability, and daily usage.",4.1,73073,https://www.amazon.in/dp/NEWITEM20438,other
Noise Smart Watches Model 20439,"Noise Smart Watches Model 20439 built for performance, durability, and daily usage.",3.9,83194,https://www.amazon.in/dp/NEWITEM20439,watch
HP Smart Watches Model 20440,"HP Smart Watches Model 20440 built for performance, durability, and daily usage.",3.7,54211,https://www.amazon.in/dp/NEWITEM20440,watch
MSI Smart Watches Model 20441,"MSI Smart Watches Model 20441 built for performance, durability, and daily usage.",4.3,66029,https://www.amazon.in/dp/NEWITEM20441,watch
Dell Laptops Model 20442,"Dell Laptops Model 20442 built for performance, durability, and daily usage.",4.0,70370,https://www.amazon.in/dp/NEWITEM20442,laptop
Boat Smart Watches Model 20443,"Boat Smart Watches Model 20443 built for performance, durability, and daily usage.",4.9,56011,https://www.amazon.in/dp/NEWITEM20443,watch
HP Laptops Model 20444,"HP Laptops Model 20444 built for performance, durability, and daily usage.",4.3,81163,https://www.amazon.in/dp/NEWITEM20444,laptop
Boat Laptops Model 20445,"Boat Laptops Model 20445 built for performance, durability, and daily usage.",4.4,56059,https://www.amazon.in/dp/NEWITEM20445,laptop
Realme Smart Watches Model 20446,"Realme Smart Watches Model 20446 built for performance, durability, and daily usage.",4.0,33528,https://www.amazon.in/dp/NEWITEM20446,watch
HP Headphones Model 20447,"HP Headphones Model 20447 built for performance, durability, and daily usage.",4.2,29014,https://www.amazon.in/dp/NEWITEM20447,other
Lenovo Smart Watches Model 20448,"Lenovo Smart Watches Model 20448 built for performance, durability, and daily usage.",4.4,30557,https://www.amazon.in/dp/NEWITEM20448,watch
Dell Mobiles Model 20449,"Dell Mobiles Model 20449 built for performance, durability, and daily usage.",3.9,79469,https://www.amazon.in/dp/NEWITEM20449,mobile
HP Laptops Model 20450,"HP Laptops Model 20450 built for performance, durability, and daily usage.",3.7,29045,https://www.amazon.in/dp/NEWITEM20450,laptop
Realme Cameras Model 20451,"Realme Cameras Model 20451 built for performance, durability, and daily usage.",4.0,17414,https://www.amazon.in/dp/NEWITEM20451,other
Canon Cameras Model 20452,"Canon Cameras Model 20452 built for performance, durability, and daily usage.",4.0,60364,https://www.amazon.in/dp/NEWITEM20452,other
Canon Cameras Model 20453,"Canon Cameras Model 20453 built for performance, durability, and daily usage.",4.4,18781,https://www.amazon.in/dp/NEWITEM20453,other
HP Headphones Model 20454,"HP Headphones Model 20454 built for performance, durability, and daily usage.",4.1,59308,https://www.amazon.in/dp/NEWITEM20454,other
Noise Laptops Model 20455,"Noise Laptops Model 20455 built for performance, durability, and daily usage.",4.1,38490,https://www.amazon.in/dp/NEWITEM20455,laptop
HP Cameras Model 20456,"HP Cameras Model 20456 built for performance, durability, and daily usage.",4.7,39092,https://www.amazon.in/dp/NEWITEM20456,other
Noise Mobiles Model 20457,"Noise Mobiles Model 20457 built for performance, durability, and daily usage.",4.6,85393,https://www.amazon.in/dp/NEWITEM20457,mobile
Canon Cameras Model 20458,"Canon Cameras Model 20458 built for performance, durability, and daily usage.",4.0,82801,https://www.amazon.in/dp/NEWITEM20458,other
MSI Headphones Model 20459,"MSI Headphones Model 20459 built for performance, durability, and daily usage.",4.5,83313,https://www.amazon.in/dp/NEWITEM20459,other
HP Laptops Model 20460,"HP Laptops Model 20460 built for performance, durability, and daily usage.",3.9,75226,https://www.amazon.in/dp/NEWITEM20460,laptop
Dell Laptops Model 20461,"Dell Laptops Model 20461 built for performance, durability, and daily usage.",4.0,52771,https://www.amazon.in/dp/NEWITEM20461,laptop
Lenovo Smart Watches Model 20462,"Lenovo Smart Watches Model 20462 built for performance, durability, and daily usage.",4.5,76942,https://www.amazon.in/dp/NEWITEM20462,watch
Boat Headphones Model 20463,"Boat Headphones Model 20463 built for performance, durability, and daily usage.",3.8,21821,https://www.amazon.in/dp/NEWITEM20463,other
Lenovo Smart Watches Model 20464,"Lenovo Smart Watches Model 20464 built for performance, durability, and daily usage.",4.0,5057,https://www.amazon.in/dp/NEWITEM20464,watch
HP Laptops Model 20465,"HP Laptops Model 20465 built for performance, durability, and daily usage.",4.8,76061,https://www.amazon.in/dp/NEWITEM20465,laptop
Realme Headphones Model 20466,"Realme Headphones Model 20466 built for performance, durability, and daily usage.",3.9,2793,https://www.amazon.in/dp/NEWITEM20466,other
Asus Cameras Model 20467,"Asus Cameras Model 20467 built for performance, durability, and daily usage.",4.6,65361,https://www.amazon.in/dp/NEWITEM20467,other
Canon Headphones Model 20468,"Canon Headphones Model 20468 built for performance, durability, and daily usage.",4.8,33958,https://www.amazon.in/dp/NEWITEM20468,other
Lenovo Headphones Model 20469,"Lenovo Headphones Model 20469 built for performance, durability, and daily usage.",4.6,21414,https://www.amazon.in/dp/NEWITEM20469,other
OnePlus Mobiles Model 20470,"OnePlus Mobiles Model 20470 built for performance, durability, and daily usage.",4.8,20347,https://www.amazon.in/dp/NEWITEM20470,mobile
