product_name,description,rating,price,product_url,category
Boat Mobiles Model 20001,"Boat Mobiles Model 20001 built for performance, durability, and daily usage.",3.9,68314,https://www.amazon.in/dp/NEWITEM20001,mobile
Lenovo Mobiles Model 20002,"Lenovo Mobiles Model 20002 built for performance, durability, and daily usage.",4.5,42367,https://www.amazon.in/dp/NEWITEM20002,mobile
Lenovo Smart Watches Model 20003,"Lenovo Smart Watches Model 20003 built for performance, durability, and daily usage.",4.1,49611,https://www.amazon.in/dp/NEWITEM20003,watch
Asus Laptops Model 20004,"Asus Laptops Model 20004 built for performance, durability, and daily usage.",4.8,36733,https://www.amazon.in/dp/NEWITEM20004,laptop
Dell Smart Watches Model 20005,"Dell Smart Watches Model 20005 built for performance, durability, and daily usage.",4.2,71616,https://www.amazon.in/dp/NEWITEM20005,watch
Lenovo Cameras Model 20006,"Lenovo Cameras Model 20006 built for performance, durability, and daily usage.",3.8,48341,https://www.amazon.in/dp/NEWITEM20006,other
OnePlus Laptops Model 20007,"OnePlus Laptops Model 20007 built for performance, durability, and daily usage.",4.6,2790,https://www.amazon.in/dp/NEWITEM20007,laptop
Lenovo Cameras Model 20008,"Lenovo Cameras Model 20008 built for performance, durability, and daily usage.",4.5,22487,https://www.amazon.in/dp/NEWITEM20008,other
Boat Smart Watches Model 20009,"Boat Smart Watches Model 20009 built for performance, durability, and daily usage.",4.7,74451,https://www.amazon.in/dp/NEWITEM20009,watch
Realme Headphones Model 20010,"Realme Headphones Model 20010 built for performance, durability, and daily usage.",4.0,65914,https://www.amazon.in/dp/NEWITEM20010,other
Noise Mobiles Model 20011,"Noise Mobiles Model 20011 built for performance, durability, and daily usage.",4.4,85497,https://www.amazon.in/dp/NEWITEM20011,mobile
MSI Cameras Model 20012,"MSI Cameras Model 20012 built for performance, durability, and daily usage.",4.6,74724,https://www.amazon.in/dp/NEWITEM20012,other
OnePlus Laptops Model 20013,"OnePlus Laptops Model 20013 built for performance, durability, and daily usage.",4.4,32556,https://www.amazon.in/dp/NEWITEM20013,laptop
OnePlus Cameras Model 20014,"OnePlus Cameras Model 20014 built for performance, durability, and daily usage.",4.5,35460,https://www.amazon.in/dp/NEWITEM20014,other
MSI Smart Watches Model 20015,"MSI Smart Watches Model 20015 built for performance, durability, and daily usage.",4.2,78092,https://www.amazon.in/dp/NEWITEM20015,watch
Asus Laptops Model 20016,"Asus Laptops Model 20016 built for performance, durability, and daily usage.",4.1,77594,https://www.amazon.in/dp/NEWITEM20016,laptop
Asus Mobiles Model 20017,"Asus Mobiles Model 20017 built for performance, durability, and daily usage.",4.8,66709,https://www.amazon.in/dp/NEWITEM20017,mobile
Realme Laptops Model 20018,"Realme Laptops Model 20018 built for performance, durability, and daily usage.",3.7,62256,https://www.amazon.in/dp/NEWITEM20018,laptop
HP Cameras Model 20019,"HP Cameras Model 20019 built for performance, durability, and daily usage.",4.1,75324,https://www.amazon.in/dp/NEWITEM20019,other
Boat Mobiles Model 20020,"Boat Mobiles Model 20020 built for performance, durability, and daily usage.",4.9,34533,https://www.amazon.in/dp/NEWITEM20020,mobile
Noise Smart Watches Model 20021,"Noise Smart Watches Model 20021 built for performance, durability, and daily usage.",4.9,56171,https://www.amazon.in/dp/NEWITEM20021,watch
Realme Mobiles Model 20022,"Realme Mobiles Model 20022 built for performance, durability, and daily usage.",4.6,57205,https://www.amazon.in/dp/NEWITEM20022,mobile
Canon Cameras Model 20023,"Canon Cameras Model 20023 built for performance, durability, and daily usage.",3.9,7873,https://www.amazon.in/dp/NEWITEM20023,other
Noise Smart Watches Model 20024,"Noise Smart Watches Model 20024 built for performance, durability, and daily usage.",3.7,63118,https://www.amazon.in/dp/NEWITEM20024,watch
Lenovo Smart Watches Model 20025,"Lenovo Smart Watches Model 20025 built for performance, durability, and daily usage.",3.6,18276,https://www.amazon.in/dp/NEWITEM20025,watch
HP Smart Watches Model 20026,"HP Smart Watches Model 20026 built for performance, durability, and daily usage.",4.1,15188,https://www.amazon.in/dp/NEWITEM20026,watch
Dell Cameras Model 20027,"Dell Cameras Model 20027 built for performance, durability, and daily usage.",4.5,79211,https://www.amazon.in/dp/NEWITEM20027,other
Noise Cameras Model 20028,"Noise Cameras Model 20028 built for performance, durability, and daily usage.",4.4,81798,https://www.amazon.in/dp/NEWITEM20028,other
Dell Mobiles Model 20029,"Dell Mobiles Model 20029 built for performance, durability, and daily usage.",4.6,36493,https://www.amazon.in/dp/NEWITEM20029,mobile
Lenovo Smart Watches Model 20030,"Lenovo Smart Watches Model 20030 built for performance, durability, and daily usage.",4.6,80597,https://www.amazon.in/dp/NEWITEM20030,watch
Dell Smart Watches Model 20031,"Dell Smart Watches Model 20031 built for performance, durability, and daily usage.",4.5,54737,https://www.amazon.in/dp/NEWITEM20031,watch
HP Mobiles Model 20032,"HP Mobiles Model 20032 built for performance, durability, and daily usage.",4.2,17184,https://www.amazon.in/dp/NEWITEM20032,mobile
Boat Mobiles Model 20033,"Boat Mobiles Model 20033 built for performance, durability, and daily usage.",4.0,84536,https://www.amazon.in/dp/NEWITEM20033,mobile
Realme Laptops Model 20034,"Realme Laptops Model 20034 built for performance, durability, and daily usage.",3.8,25894,https://www.amazon.in/dp/NEWITEM20034,laptop
Boat Smart Watches Model 20035,"Boat Smart Watches Model 20035 built for performance, durability, and daily usage.",4.8,15095,https://www.amazon.in/dp/NEWITEM20035,watch
Noise Headphones Model 20036,"Noise Headphones Model 20036 built for performance, durability, and daily usage.",3.9,8528,https://www.amazon.in/dp/NEWITEM20036,other
Realme Mobiles Model 20037,"Realme Mobiles Model 20037 built for performance, durability, and daily usage.",4.4,28364,https://www.amazon.in/dp/NEWITEM20037,mobile
Asus Mobiles Model 20038,"Asus Mobiles Model 20038 built for performance, durability, and daily usage.",4.0,70720,https://www.amazon.in/dp/NEWITEM20038,mobile
Asus Smart Watches Model 20039,"Asus Smart Watches Model 20039 built for performance, durability, and daily usage.",3.6,61159,https://www.amazon.in/dp/NEWITEM20039,watch
Canon Smart Watches Model 20040,"Canon Smart Watches Model 20040 built for performance, durability, and daily usage.",4.6,21497,https://www.amazon.in/dp/NEWITEM20040,watch
Asus Cameras Model 20041,"Asus Cameras Model 20041 built for performance, durability, and daily usage.",4.3,10121,https://www.amazon.in/dp/NEWITEM20041,other
MSI Headphones Model 20042,"MSI Headphones Model 20042 built for performance, durability, and daily usage.",4.2,13882,https://www.amazon.in/dp/NEWITEM20042,other
Canon Laptops Model 20043,"Canon Laptops Model 20043 built for performance, durability, and daily usage.",4.1,30208,https://www.amazon.in/dp/NEWITEM20043,laptop
Boat Mobiles Model 20044,"Boat Mobiles Model 20044 built for performance, durability, and daily usage.",3.6,58004,https://www.amazon.in/dp/NEWITEM20044,mobile
Dell Laptops Model 20045,"Dell Laptops Model 20045 built for performance, durability, and daily usage.",4.9,51636,https://www.amazon.in/dp/NEWITEM20045,laptop
Boat Mobiles Model 20046,"Boat Mobiles Model 20046 built for performance, durability, and daily usage.",4.7,32553,https://www.amazon.in/dp/NEWITEM20046,mobile
Dell Headphones Model 20047,"Dell Headphones Model 20047 built for performance, durability, and daily usage.",4.3,6661,https://www.amazon.in/dp/NEWITEM20047,other
MSI Cameras Model 20048,"MSI Cameras Model 20048 built for performance, durability, and daily usage.",3.7,86914,https://www.amazon.in/dp/NEWITEM20048,other
HP Laptops Model 20049,"HP Laptops Model 20049 built for performance, durability, and daily usage.",4.5,57131,https://www.amazon.in/dp/NEWITEM20049,laptop
MSI Headphones Model 20050,"MSI Headphones Model 20050 built for performance, durability, and daily usage.",4.0,15522,https://www.amazon.in/dp/NEWITEM20050,other
Realme Laptops Model 20051,"Realme Laptops Model 20051 built for performance, durability, and daily usage.",4.2,16126,https://www.amazon.in/dp/NEWITEM20051,laptop
Canon Cameras Model 20052,"Canon Cameras Model 20052 built for performance, durability, and daily usage.",4.8,34447,https://www.amazon.in/dp/NEWITEM20052,other
Noise Cameras Model 20053,"Noise Cameras Model 20053 built for performance, durability, and daily usage.",4.8,74336,https://www.amazon.in/dp/NEWITEM20053,other
Canon Cameras Model 20054,"Canon Cameras Model 20054 built for performance, durability, and daily usage.",4.6,5733,https://www.amazon.in/dp/NEWITEM20054,other
OnePlus Cameras Model 20055,"OnePlus Cameras Model 20055 built for performance, durability, and daily usage.",4.6,6590,https://www.amazon.in/dp/NEWITEM20055,other
Canon Mobiles Model 20056,"Canon Mobiles Model 20056 built for performance, durability, and daily usage.",4.8,17525,https://www.amazon.in/dp/NEWITEM20056,mobile
HP Laptops Model 20057,"HP Laptops Model 20057 built for performance, durability, and daily usage.",4.5,60846,https://www.amazon.in/dp/NEWITEM20057,laptop
Asus Laptops Model 20058,"Asus Laptops Model 20058 built for performance, durability, and daily usage.",4.8,85043,https://www.amazon.in/dp/NEWITEM20058,laptop
OnePlus Mobiles Model 20059,"OnePlus Mobiles Model 20059 built for performance, durability, and daily usage.",3.8,8615,https://www.amazon.in/dp/NEWITEM20059,mobile
Realme Smart Watches Model 20060,"Realme Smart Watches Model 20060 built for performance, durability, and daily usage.",4.1,11479,https://www.amazon.in/dp/NEWITEM20060,watch
HP Laptops Model 20061,"HP Laptops Model 20061 built for performance, durability, and daily usage.",3.7,6144,https://www.amazon.in/dp/NEWITEM20061,laptop
MSI Headphones Model 20062,"MSI Headphones Model 20062 built for performance, durability, and daily usage.",3.8,44281,https://www.amazon.in/dp/NEWITEM20062,other
Dell Headphones Model 20063,"Dell Headphones Model 20063 built for performance, durability, and daily usage.",4.0,5608,https://www.amazon.in/dp/NEWITEM20063,other
Canon Laptops Model 20064,"Canon Laptops Model 20064 built for performance, durability, and daily usage.",4.8,9674,https://www.amazon.in/dp/NEWITEM20064,laptop
MSI Mobiles Model 20065,"MSI Mobiles Model 20065 built for performance, durability, and daily usage.",4.1,53442,https://www.amazon.in/dp/NEWITEM20065,mobile
Lenovo Headphones Model 20066,"Lenovo Headphones Model 20066 built for performance, durability, and daily usage.",4.1,37865,https://www.amazon.in/dp/NEWITEM20066,other
Canon Headphones Model 20067,"Canon Headphones Model 20067 built for performance, durability, and daily usage.",4.5,85661,https://www.amazon.in/dp/NEWITEM20067,other
Dell Laptops Model 20068,"Dell Laptops Model 20068 built for performance, durability, and daily usage.",4.6,85663,https://www.amazon.in/dp/NEWITEM20068,laptop
Dell Mobiles Model 20069,"Dell Mobiles Model 20069 built for performance, durability, and daily usage.",4.4,38407,https://www.amazon.in/dp/NEWITEM20069,mobile
